,Unnamed: 0,date,away_team,home_team,teams,Aaron Smith,Andy Nagy,Ashley Moyer-Gleich,Ben Taylor,Bennie Adams,Bill Kennedy,Bill Spooner,Brandon Adair,Brent Barnaky,Brett Nansel,Brian Forte,CJ Washington,Courtney Kirkland,Curtis Blair,Danny Crawford,David Guthrie,David Jones,Dedric Taylor,Derek Richardson,Derrick Collins,Derrick Stafford,Ed Malloy,Eli Roe,Eric Dalen,Eric Lewis,Evan Scott,Gary Zielinski,Gediminas Petraitis,Haywoode Workman,JB DeRosa,JT Orr,Jacyn Goble,James Capers,James Williams,Jason Goldenberg,Jason Phillips,Jenna Schroeder,John Butler,John Conley,John Goble,Jonathan Sterling,Josh Tiven,Justin Van Duyne,Kane Fitzgerald,Karl Lane,Ken Mauer,Kevin Cutler,Kevin Scott,Lauren Holtkamp,Leon Wood,Leroy Richardson,Marat Kogut,Marc Davis,Mark Ayotte,Mark Lindsay,Matt Boland,Matt Myers,Michael Smith,Mike Callahan,Mitchell Ervin,Monty McCutchen,Mousa Dagher,Natalie Sago,Nate Green,Nick Buchert,Pat Fraher,Phenizee Ransom,Randy Richardson,Ray Acosta,Rodney Mott,Ron Garretson,Scott Foster,Scott Twardoski,Scott Wall,Sean Corbin,Sean Wright,Simone Jelks,Steve Anderson,Suyash Mehta,Tom Washington,Tony Brothers,Tony Brown,Tre Maddox,Tyler Ford,Vladimir Voyard-Tadal,Zach Zarba,Team_x,b2b_home,threein4_home,fourin5_home,rest2_home,rest3_plus_home,Team_y,b2b_away,threein4_away,fourin5_away,rest2_away,rest3_plus_away
2389,2389,2017-10-21,Orlando,Cleveland,Orlando @ Cleveland,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Cleveland,1,0,0,0,0,Orlando,1,1,0,0,0
2390,2390,2017-10-21,Philadelphia,Toronto,Philadelphia @ Toronto,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,0,0,0,0,0,Philadelphia,1,1,0,0,0
2391,2391,2017-10-21,Phoenix,L.A. Clippers,Phoenix @ LA Clippers,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,LA Clippers,0,0,0,0,0,Phoenix,1,1,0,0,0
2392,2392,2017-10-21,Portland,Milwaukee,Portland @ Milwaukee,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Milwaukee,1,1,0,0,0,Portland,1,1,0,0,0
2393,2393,2017-10-21,Sacramento,Denver,Sacramento @ Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Denver,0,0,0,1,0,Sacramento,1,1,0,0,0
2394,2394,2017-10-21,San Antonio,Chicago,San Antonio @ Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,Chicago,0,0,0,0,0,San Antonio,0,0,0,1,0
2395,2395,2017-10-22,Atlanta,Brooklyn,Atlanta @ Brooklyn,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn,0,0,0,0,0,Atlanta,0,0,0,0,0
2396,2396,2017-10-22,Minnesota,Oklahoma City,Minnesota @ Oklahoma City,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Oklahoma City,1,1,0,0,0,Minnesota,0,0,0,0,0
2397,2397,2017-10-22,New Orleans,L.A. Lakers,New Orleans @ L.A. Lakers,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,L.A. Lakers,0,1,0,0,0,New Orleans,0,0,0,0,0
2398,2398,2017-10-23,Atlanta,Miami,Atlanta @ Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,Miami,0,0,0,0,0,Atlanta,1,1,1,0,0
2399,2399,2017-10-23,Charlotte,Milwaukee,Charlotte @ Milwaukee,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,0,1,1,0,0,Charlotte,0,0,0,1,0
2400,2400,2017-10-23,Golden State,Dallas,Golden State @ Dallas,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Dallas,0,1,1,0,0,Golden State,0,1,0,0,0
2401,2401,2017-10-23,Memphis,Houston,Memphis @ Houston,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,0,0,0,0,0,Memphis,0,0,0,0,0
2402,2402,2017-10-23,Philadelphia,Detroit,Philadelphia @ Detroit,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Detroit,0,1,1,0,0,Philadelphia,0,1,1,0,0
2403,2403,2017-10-23,Sacramento,Phoenix,Sacramento @ Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Phoenix,0,1,1,0,0,Sacramento,0,1,1,0,0
2404,2404,2017-10-23,Toronto,San Antonio,Toronto @ San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,0,0,0,0,0,Toronto,0,0,0,0,0
2405,2405,2017-10-23,Washington,Denver,Washington @ Denver,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,Denver,0,0,0,0,0,Washington,0,0,0,1,0
2406,2406,2017-10-24,Brooklyn,Orlando,Brooklyn @ Orlando,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando,0,0,0,1,0,Brooklyn,0,0,0,0,0
2407,2407,2017-10-24,Chicago,Cleveland,Chicago @ Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Cleveland,0,0,0,1,0,Chicago,0,0,0,1,0
2408,2408,2017-10-24,Indiana,Minnesota,Indiana @ Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Minnesota,0,0,0,0,0,Indiana,0,0,0,1,0
2409,2409,2017-10-24,New Orleans,Portland,New Orleans @ Portland,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland,0,0,0,1,0,New Orleans,0,0,0,0,0
2410,2410,2017-10-24,New York,Boston,New York @ Boston,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston,0,0,0,0,1,New York,0,0,0,1,0
2411,2411,2017-10-24,Utah,L.A. Clippers,Utah @ LA Clippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,LA Clippers,0,0,0,1,0,Utah,0,0,0,1,0
2412,2412,2017-10-25,Cleveland,Brooklyn,Cleveland @ Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Brooklyn,1,1,1,0,0,Cleveland,1,0,1,0,0
2413,2413,2017-10-25,Denver,Charlotte,Denver @ Charlotte,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,Charlotte,0,0,0,0,0,Denver,0,0,0,0,0
2414,2414,2017-10-25,Houston,Philadelphia,Houston @ Philadelphia,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Philadelphia,0,0,1,0,0,Houston,0,0,0,0,0
2415,2415,2017-10-25,Indiana,Oklahoma City,Indiana @ Oklahoma City,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,0,0,0,1,0,Indiana,1,0,1,0,0
2416,2416,2017-10-25,Memphis,Dallas,Memphis @ Dallas,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Dallas,0,0,1,0,0,Memphis,0,0,0,0,0
2417,2417,2017-10-25,Minnesota,Detroit,Minnesota @ Detroit,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,0,0,1,0,0,Minnesota,1,1,1,0,0
2418,2418,2017-10-25,San Antonio,Miami,San Antonio @ Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Miami,0,0,0,0,0,San Antonio,0,0,0,0,0
2419,2419,2017-10-25,Toronto,Golden State,Toronto @ Golden State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State,0,0,1,0,0,Toronto,0,0,0,0,0
2420,2420,2017-10-25,Utah,Phoenix,Utah @ Phoenix,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Phoenix,0,0,1,0,0,Utah,1,0,1,0,0
2421,2421,2017-10-25,Washington,L.A. Lakers,Washington @ L.A. Lakers,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,L.A. Lakers,0,0,0,1,0,Washington,0,0,0,0,0
2422,2422,2017-10-26,Atlanta,Chicago,Atlanta @ Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,0,0,0,0,0,Atlanta,0,0,0,1,0
2423,2423,2017-10-26,Boston,Milwaukee,Boston @ Milwaukee,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,0,0,0,1,0,Boston,0,0,0,0,0
2424,2424,2017-10-26,Dallas,Memphis,Dallas @ Memphis,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,1,1,1,0,0,Dallas,1,1,1,0,0
2425,2425,2017-10-26,L.A. Clippers,Portland,LA Clippers @ Portland,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland,0,0,0,0,0,LA Clippers,0,0,0,0,0
2426,2426,2017-10-26,New Orleans,Sacramento,New Orleans @ Sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,Sacramento,0,0,0,1,0,New Orleans,0,0,0,0,0
2427,2427,2017-10-27,Brooklyn,New York,Brooklyn @ New York,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,0,0,0,1,0,Brooklyn,0,1,1,0,0
2428,2428,2017-10-27,Denver,Atlanta,Denver @ Atlanta,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Atlanta,1,0,1,0,0,Denver,0,0,0,0,0
2429,2429,2017-10-27,Houston,Charlotte,Houston @ Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,Charlotte,0,0,0,0,0,Houston,0,0,0,0,0
2430,2430,2017-10-27,Oklahoma City,Minnesota,Oklahoma City @ Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Minnesota,0,1,1,0,0,Oklahoma City,0,0,0,0,0
2431,2431,2017-10-27,San Antonio,Orlando,San Antonio @ Orlando,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Orlando,0,0,0,1,0,San Antonio,0,0,0,0,0
2432,2432,2017-10-27,Toronto,L.A. Lakers,Toronto @ L.A. Lakers,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,L.A. Lakers,0,0,0,0,0,Toronto,0,0,0,0,0
