,date,away_team,home_team,teams,Aaron Smith,Andy Nagy,Ashley Moyer-Gleich,Ben Taylor,Bennie Adams,Bill Kennedy,Bill Spooner,Brandon Adair,Brent Barnaky,Brett Nansel,Brian Forte,CJ Washington,Courtney Kirkland,Curtis Blair,Danny Crawford,David Guthrie,David Jones,Dedric Taylor,Derek Richardson,Derrick Collins,Derrick Stafford,Ed Malloy,Eli Roe,Eric Dalen,Eric Lewis,Evan Scott,Gary Zielinski,Gediminas Petraitis,Haywoode Workman,JB DeRosa,JT Orr,Jacyn Goble,James Capers,James Williams,Jason Goldenberg,Jason Phillips,Jenna Schroeder,John Butler,John Conley,John Goble,Jonathan Sterling,Josh Tiven,Justin Van Duyne,Kane Fitzgerald,Karl Lane,Ken Mauer,Kevin Cutler,Kevin Scott,Lauren Holtkamp,Leon Wood,Leroy Richardson,Marat Kogut,Marc Davis,Mark Ayotte,Mark Lindsay,Matt Boland,Matt Myers,Michael Smith,Mike Callahan,Mitchell Ervin,Monty McCutchen,Mousa Dagher,Natalie Sago,Nate Green,Nick Buchert,Pat Fraher,Phenizee Ransom,Randy Richardson,Ray Acosta,Rodney Mott,Ron Garretson,Scott Foster,Scott Twardoski,Scott Wall,Sean Corbin,Sean Wright,Simone Jelks,Steve Anderson,Suyash Mehta,Tom Washington,Tony Brothers,Tony Brown,Tre Maddox,Tyler Ford,Vladimir Voyard-Tadal,Zach Zarba
552,2016-02-20,Milwaukee,Atlanta,Milwaukee @ Atlanta,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
553,2016-02-20,New York,Minnesota,New York @ Minnesota,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
554,2016-02-20,Washington,Miami,Washington @ Miami,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,2016-02-21,Boston,Denver,Boston @ Denver,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
556,2016-02-21,Charlotte,Brooklyn,Charlotte @ Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
557,2016-02-21,Cleveland,Oklahoma City,Cleveland @ Oklahoma City,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,2016-02-21,Indiana,Orlando,Indiana @ Orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,2016-02-21,L.A. Lakers,Chicago,L.A. Lakers @ Chicago,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
560,2016-02-21,Memphis,Toronto,Memphis @ Toronto,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
561,2016-02-21,New Orleans,Detroit,New Orleans @ Detroit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
562,2016-02-21,Philadelphia,Dallas,Philadelphia @ Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,2016-02-21,San Antonio,Phoenix,San Antonio @ Phoenix,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
564,2016-02-21,Utah,Portland,Utah @ Portland,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
565,2016-02-22,Boston,Minnesota,Boston @ Minnesota,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
566,2016-02-22,Detroit,Cleveland,Detroit @ Cleveland,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,2016-02-22,Golden State,Atlanta,Golden State @ Atlanta,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
568,2016-02-22,Indiana,Miami,Indiana @ Miami,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
569,2016-02-22,L.A. Lakers,Milwaukee,L.A. Lakers @ Milwaukee,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,2016-02-22,Phoenix,L.A. Clippers,Phoenix @ L.A. Clippers,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
571,2016-02-22,Toronto,New York,Toronto @ New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,
572,2016-02-23,Brooklyn,Portland,Brooklyn @ Portland,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,2016-02-23,Houston,Utah,Houston @ Utah,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
574,2016-02-23,New Orleans,Washington,New Orleans @ Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,2016-02-23,Orlando,Philadelphia,Orlando @ Philadelphia,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
576,2016-02-23,Sacramento,Denver,Sacramento @ Denver,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
577,2016-02-24,Charlotte,Cleveland,Charlotte @ Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
578,2016-02-24,Denver,L.A. Clippers,Denver @ L.A. Clippers,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
579,2016-02-24,Golden State,Miami,Golden State @ Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
580,2016-02-24,L.A. Lakers,Memphis,L.A. Lakers @ Memphis,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
581,2016-02-24,Minnesota,Toronto,Minnesota @ Toronto,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,2016-02-24,New York,Indiana,New York @ Indiana,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
583,2016-02-24,Oklahoma City,Dallas,Oklahoma City @ Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
584,2016-02-24,Philadelphia,Detroit,Philadelphia @ Detroit,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,2016-02-24,San Antonio,Sacramento,San Antonio @ Sacramento,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,2016-02-24,Washington,Chicago,Washington @ Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
587,2016-02-25,Brooklyn,Phoenix,Brooklyn @ Phoenix,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
588,2016-02-25,Golden State,Orlando,Golden State @ Orlando,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
589,2016-02-25,Houston,Portland,Houston @ Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
590,2016-02-25,Milwaukee,Boston,Milwaukee @ Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
591,2016-02-25,Oklahoma City,New Orleans,Oklahoma City @ New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,
592,2016-02-25,San Antonio,Utah,San Antonio @ Utah,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
593,2016-02-26,Charlotte,Indiana,Charlotte @ Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
594,2016-02-26,Chicago,Atlanta,Chicago @ Atlanta,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
